p_s,mean_bias,stdev_bias
1,0.0008238391870390147,0.16858557141356026
3.1622776601683795,-0.002339963016922599,0.17229614725322556
10,-0.002725929501439253,0.17110034728158055
31.622776601683793,0.0003046168117435156,0.16971684491222938
100,0.0015820560109928521,0.17007339930600018
316.22776601683796,0.0005642942471204134,0.16544702881506573
1000,-0.001184962604040949,0.16250950361638042
3162.2776601683795,-0.00009484602902490038,0.14874749761203576
10000,0.0014849498111367012,0.13845390497184162
31622.776601683792,0.001253005152040032,0.12178772849423447
100000,-0.000014592717291892277,0.10399517007198293
316227.7660168379,0.0008139767802262918,0.08673515817126494
1000000,-0.000029736440136910992,0.07276199801136515
3162277.6601683795,0.00011414055215869427,0.06597924582213625
10000000,-0.00017669604891391757,0.060033084482783695
31622776.60168379,0.0008172416765785638,0.05826111889731481
100000000,-0.0003728288423818549,0.05621652393412552
316227766.01683795,0.00003738478426683919,0.056768099074373975
1000000000,-0.0009583478676565365,0.05711984167905633
3162277660.1683793,0.00004737232866325031,0.056356616978030606
10000000000,-0.00003095039372034009,0.05710055186140686
31622776601.683792,0.0002336312884663074,0.056378938967703546
100000000000,-0.0004893346074384086,0.05659452128768639
316227766016.83795,-0.00042019028196453725,0.05653905652157046
1000000000000,0.00043436168960670125,0.057993318545531664
