p_s,fraction,error
1.0,0.9988997164537786,0.0016580000793686
3.1622776601683795,0.9978333435970957,0.0015495241330483
10.0,0.9957400635557657,0.0016691687248779
31.622776601683793,0.9916497515880519,0.0015549530536906
100.0,0.9837282566830714,0.0017269056473782
316.22776601683796,0.9686490692314998,0.0017568221918159
1000.0,0.9408635092462257,0.001839844686426
3162.2776601683795,0.8926052775535629,0.0015842115727182
10000.0,0.8168114232010011,0.0012747450625738
31622.776601683792,0.7147372514627969,0.0010857920103493
100000.0,0.6024144894915833,0.0010244757933286
316227.7660168379,0.5032431082606855,0.0006908073969111
1000000.0,0.4313247263035406,0.0007103836346292
3162277.6601683795,0.38627528949139844,0.0005066483473963
10000000.0,0.36059371347113534,0.000638953367317
31622776.60168379,0.3467338821347373,0.0006199048979304
100000000.0,0.33947465679119015,0.0004114106027054
316227766.01683795,0.33573214540612917,0.0004852869943857
1000000000.0,0.3338183917528239,0.000493271147115
3162277660.1683793,0.33284387339611154,0.0004903388293041
10000000000.0,0.33234868912555826,0.0005229705688648
31622776601.683792,0.33209734294918114,0.0004521051626309
100000000000.0,0.33196983466551333,0.0005783986616971
316227766016.83795,0.3319051676094029,0.0005190835583264
1000000000000.0,0.33187237573857176,0.0006257611747887
